"ID","Game","Where it appears","Type","English","Portuguese","Your feedback","Suggested Portuguese"
"DAN-093","Dance","Choosing a game mode","In-game","The host becomes the DJ and picks the songs for an Imposter round.","O anfitrião vira DJ e escolhe as músicas da rodada.","",""
"DAN-094","Dance","Choosing a game mode","In-game","Find Your Squad","Ache a Sua Turma","",""
"DAN-095","Dance","Choosing a game mode","In-game","Half the players hear the same song. Dance and find the player sharing your music.","Metade escuta a mesma música. Dance e ache quem está com você.","",""
"DAN-096","Dance","Choosing a game mode","In-game","Partner Hunt","Ache o Seu Par","",""
"DAN-097","Dance","Choosing a game mode","In-game","Players are grouped into pairs. Each pair hears a different song. Find your matching teammate.","Os jogadores são divididos em duplas e cada dupla escuta uma música diferente. Ache a sua.","",""
"DAN-098","Dance","Choosing a game mode","In-game","Coming soon","Em breve","",""
"DAN-099","Dance","Choosing a game mode","In-game","🙋 I want this sooner","🙋 Quero logo","",""
"DAN-100","Dance","Choosing a game mode","In-game","🎉 You're on the list","🎉 Você está na lista","",""
"DAN-101","Dance","Choosing a game mode","In-game","Thanks! We'll build it if enough of you want it 🎉","Valeu! Se muita gente pedir, a gente faz 🎉","",""
"DAN-102","Dance","Choosing music and categories","In-game","Select","Escolher","",""
"DAN-103","Dance","Choosing music and categories","In-game","Done","Pronto","",""
"DAN-104","Dance","Choosing music and categories","In-game","Pick music categories","Escolha as categorias de música","",""
"DAN-105","Dance","Choosing music and categories","In-game","Close","Fechar","",""
"DAN-106","Dance","Choosing music and categories","In-game","Select","Escolher","",""
"DAN-107","Dance","Choosing music and categories","In-game","Cancel","Cancelar","",""
"DAN-108","Dance","English-only song categories","English only","International","","",""
"DAN-109","Dance","English-only song categories","English only","Indian","","",""
"DAN-110","Dance","English-only song categories","English only","TikTok and Reels","","",""
"DAN-111","Dance","English-only song categories","English only","What's trending on TikTok and Reels","","",""
"DAN-112","Dance","English-only song categories","English only","Today's Pop","","",""
"DAN-113","Dance","English-only song categories","English only","Chart-topping hits playing right now","","",""
"DAN-114","Dance","English-only song categories","English only","K-Pop","","",""
"DAN-115","Dance","English-only song categories","English only","The biggest K-pop hits right now","","",""
"DAN-116","Dance","English-only song categories","English only","Latin Hits","","",""
"DAN-117","Dance","English-only song categories","English only","Reggaeton and Latin chart-toppers","","",""
"DAN-118","Dance","English-only song categories","English only","80s Hits","","",""
"DAN-119","Dance","English-only song categories","English only","The biggest songs of the 80s","","",""
"DAN-120","Dance","English-only song categories","English only","90s Hits","","",""
"DAN-121","Dance","English-only song categories","English only","The biggest songs of the 90s","","",""
"DAN-122","Dance","English-only song categories","English only","Bollywood","","",""
"DAN-123","Dance","English-only song categories","English only","Trending songs from Bollywood","","",""
"DAN-124","Dance","English-only song categories","English only","Tamil","","",""
"DAN-125","Dance","English-only song categories","English only","Trending Tamil songs","","",""
"DAN-126","Dance","English-only song categories","English only","Telugu","","",""
"DAN-127","Dance","English-only song categories","English only","Trending Telugu songs","","",""
"DAN-128","Dance","English-only song categories","English only","Kannada","","",""
"DAN-129","Dance","English-only song categories","English only","Trending Kannada songs","","",""
"DAN-130","Dance","English-only song categories","English only","Malayalam","","",""
"DAN-131","Dance","English-only song categories","English only","Trending Malayalam songs","","",""
"DAN-132","Dance","Portuguese-only song categories","Portuguese only","","Categorias","",""
"DAN-133","Dance","Portuguese-only song categories","Portuguese only","","TikTok e Reels","",""
"DAN-134","Dance","Portuguese-only song categories","Portuguese only","","O que está bombando no TikTok e no Reels","",""
"DAN-135","Dance","Portuguese-only song categories","Portuguese only","","Funk","",""
"DAN-136","Dance","Portuguese-only song categories","Portuguese only","","Do baile carioca aos hits que tocam em todo lugar","",""
"DAN-137","Dance","Portuguese-only song categories","Portuguese only","","Sertanejo","",""
"DAN-138","Dance","Portuguese-only song categories","Portuguese only","","Sofrência, modão e sertanejo universitário","",""
"DAN-139","Dance","Portuguese-only song categories","Portuguese only","","Hits Globais","",""
"DAN-140","Dance","Portuguese-only song categories","Portuguese only","","Músicas que todo mundo reconhece, em qualquer língua","",""
"DAN-141","Dance","Song groups","In-game","Pick the group song","Escolha a música do grupo","",""
"DAN-142","Dance","Song groups","In-game","Create a song group","Criar uma lista de músicas","",""
"DAN-143","Dance","Song groups","In-game","Add at least 4 songs","Adicione pelo menos 4 músicas","",""
"DAN-144","Dance","Song groups","In-game","Save","Salvar","",""
"DAN-145","Dance","Song groups","In-game","Done","Pronto","",""
"DAN-146","Dance","Song groups","In-game","Group Created!","Lista criada!","",""
"DAN-147","Dance","Song groups","In-game","Your song group is ready.","Sua lista de músicas está pronta.","",""
"DAN-148","Dance","Song groups","In-game","Your browser paused the song. One tap and you'll drop in, right in sync with everyone else.","O navegador pausou a música. Um toque e você entra, no mesmo ponto que todo mundo.","",""
"DAN-149","Dance","Song groups","In-game","Search for a song","Busque uma música","",""
"DAN-150","Dance","Song groups","In-game","Search song or artist…","Busque música ou artista…","",""
"DAN-151","Dance","Song groups","In-game","Search a song to add…","Busque uma música para adicionar…","",""
"DAN-152","Dance","Song groups","In-game","Clear search","Limpar a busca","",""
"DAN-153","Dance","Song groups","In-game","Group name (optional)","Nome da lista (opcional)","",""
"DAN-154","Dance","Song groups","In-game","Delete group","Apagar a lista","",""
"DAN-155","Dance","Song groups","In-game","Group created","Lista criada","",""
"DAN-156","Dance","Song groups","In-game","You're offline. Reconnect and tap Start again.","Você está sem conexão. Reconecte e toque em Começar de novo.","",""
"DAN-157","Dance","Song groups","In-game","Couldn't load the songs. The music service isn't responding. Tap Start to try again.","Não deu para carregar as músicas. O serviço de música não está respondendo. Toque em Começar para tentar de novo.","",""
"DAN-158","Dance","Song groups","In-game","Couldn't load enough songs. The music service isn't responding. Tap Start to try again.","Não deu para carregar músicas suficientes. O serviço de música não está respondendo. Toque em Começar para tentar de novo.","",""
"DAN-159","Dance","Song groups","In-game","Couldn't find an impostor song. Pick one yourself, or tap Start to try again.","Não achamos uma música para o impostor. Escolha uma você mesmo, ou toque em Começar para tentar de novo.","",""
"DAN-160","Dance","Song groups","In-game","Pick the group song first","Escolha primeiro a música do grupo","",""
"DAN-161","Dance","Song groups","In-game","Pick two different songs","Escolha duas músicas diferentes","",""
"DAN-162","Dance","Song groups","In-game","{count} song","{count} música","",""
"DAN-163","Dance","Song groups","In-game","{count} songs","{count} músicas","",""
"DAN-164","Dance","Song groups","In-game","Pick the group song","Escolha a música do grupo","",""
"DAN-165","Dance","Song groups","In-game","Pick the impostor song","Escolha a música do impostor","",""
"DAN-166","Dance","Song groups","In-game","Searching…","Procurando…","",""
"DAN-167","Dance","Song groups","In-game","No songs found — try a different search.","Nenhuma música encontrada. Tente outra busca.","",""
"DAN-168","Dance","Song groups","In-game","Search for any song","Busque qualquer música","",""
"DAN-169","Dance","Song groups","In-game","My Groups","Minhas listas","",""
"DAN-170","Dance","Song groups","In-game","My Group","Minha lista","",""
"DAN-171","Dance","Song groups","In-game","Song Group {n}","Lista {n}","",""
