"ID","Category","Word","Hint 1","Hint 2","Easy hint","Your feedback","Suggested word or hint"
"FOO-075","Comida","Maracujá","Sementes","Casca","Sono","",""
"FOO-076","Comida","Caju","Castanha","Talo","Suco","",""
"FOO-077","Comida","Goiaba","Miolo","Quintal","Compota","",""
"FOO-078","Comida","Melancia","Listras","Peso","Verão","",""
"FOO-079","Comida","Mamão","Sementes","Metade","Manhã","",""
"FOO-080","Comida","Limão","Espremer","Verde","Tempero","",""
"FOO-081","Comida","Uva","Cacho","Videira","Vinho","",""
"FOO-082","Comida","Morango","Sementinhas","Cabinho","Chantilly","",""
"FOO-083","Comida","Coco","Canudo","Casca dura","Areia","",""
"FOO-084","Comida","Amendoim","Vagem","Torrar","Cinema","",""
"FOO-085","Comida","Yakisoba","Legumes","Refogar","Shopping","",""
"FOO-086","Comida","Temaki","Cone","Alga","Salmão","",""
"FOO-087","Comida","Salgadinho","Pacote","Estalo","Recreio","",""
"FOO-088","Comida","Kibe","Trigo","Losango","Boteco","",""
"FOO-089","Comida","Mingau","Aveia","Panela","Bebê","",""
"FOO-090","Comida","Bolinho de chuva","Fritadeira","Canela","Vovó","",""
"FOO-091","Comida","Galinhada","Açafrão","Panelão","Interior","",""
"FOO-092","Comida","Polenta","Fubá","Bastão","Inverno","",""
"FOO-093","Comida","Feijão tropeiro","Farinha","Bacon","Estrada","",""
"FOO-094","Comida","Torresmo","Crocante","Estalo","Chope","",""
"FOO-095","Comida","Bolacha recheada","Torcer","Creme","Merenda","",""
"FOO-096","Comida","Pão de mel","Cobertura","Especiarias","Natal","",""
"FOO-097","Comida","Panetone","Caixa","Passas","Dezembro","",""
"FOO-098","Comida","Rabanada","Ensopar","Canela","Natal","",""
"FOO-099","Comida","Milho verde","Espiga","Manteiga","Fogueira","",""
"FOO-100","Comida","Mousse","Taça","Leve","Geladeira","",""
"ANI-001","Animais","Cachorro","Coleira","Latido","Passeio","",""
"ANI-002","Animais","Gato","Ronronar","Bigodes","Colo","",""
"ANI-003","Animais","Cavalo","Ferradura","Galope","Fazenda","",""
"ANI-004","Animais","Vaca","Chifre","Pasto","Curral","",""
"ANI-005","Animais","Porco","Lama","Focinho","Chiqueiro","",""
"ANI-006","Animais","Galinha","Penas","Ciscar","Quintal","",""
"ANI-007","Animais","Galo","Crista","Esporão","Amanhecer","",""
"ANI-008","Animais","Pato","Nadar","Bico chato","Lagoa","",""
"ANI-009","Animais","Peru","Papada","Ceia","Natal","",""
"ANI-010","Animais","Ovelha","Lã","Rebanho","Tosquia","",""
"ANI-011","Animais","Cabra","Barbicha","Encosta","Leite","",""
"ANI-012","Animais","Burro","Teimosia","Carroça","Roça","",""
"ANI-013","Animais","Coelho","Salto","Orelhas","Toca","",""
"ANI-014","Animais","Rato","Esgoto","Rabo","Armadilha","",""
"ANI-015","Animais","Morcego","Caverna","Asas","Noite","",""
"ANI-016","Animais","Macaco","Galho","Travessura","Zoológico","",""
"ANI-017","Animais","Onça","Pintas","Emboscada","Rastro","",""
"ANI-018","Animais","Capivara","Margem","Bando","Ciclovia","",""
"ANI-019","Animais","Tatu","Casco","Buraco","Sertão","",""
"ANI-020","Animais","Tamanduá","Língua","Focinho","Formigueiro","",""
"ANI-021","Animais","Preguiça","Lentidão","Garras","Galho","",""
"ANI-022","Animais","Arara","Bico","Casal","Bando","",""
"ANI-023","Animais","Tucano","Ninho","Fruta","Mata","",""
"ANI-024","Animais","Papagaio","Repetir","Poleiro","Pirata","",""
"ANI-025","Animais","Beija-flor","Zumbido","Néctar","Jardim","",""
"ANI-026","Animais","Coruja","Silêncio","Pescoço","Madrugada","",""
"ANI-027","Animais","Urubu","Círculos","Carniça","Poste","",""
"ANI-028","Animais","Sabiá","Canto","Ninho","Palmeira","",""
"ANI-029","Animais","Bem-te-vi","Grito","Telhado","Amanhecer","",""
"ANI-030","Animais","Pombo","Arrulho","Migalhas","Estátua","",""
"ANI-031","Animais","Jacaré","Mandíbula","Brejo","Dentes","",""
"ANI-032","Animais","Cobra","Veneno","Rastejar","Mato","",""
"ANI-033","Animais","Lagarto","Escamas","Muro","Sol","",""
"ANI-034","Animais","Sapo","Coaxar","Charco","Chuva","",""
"ANI-035","Animais","Tartaruga","Casco","Areia","Mergulho","",""
"ANI-036","Animais","Peixe","Cardume","Guelras","Aquário","",""
"ANI-037","Animais","Tubarão","Barbatana","Medo","Mar","",""
"ANI-038","Animais","Golfinho","Sonar","Salto","Baía","",""
"ANI-039","Animais","Baleia","Jato","Canção","Oceano","",""
"ANI-040","Animais","Polvo","Tentáculos","Tinta","Ventosa","",""
"ANI-041","Animais","Caranguejo","Pinça","Manguezal","Areia","",""
"ANI-042","Animais","Camarão","Antenas","Rede","Barco","",""
"ANI-043","Animais","Piranha","Dentes","Rio","Lenda","",""
"ANI-044","Animais","Pirarucu","Gigante","Rede","Amazonas","",""
"ANI-045","Animais","Boto","Lenda","Nadadeira","Rio","",""
"ANI-046","Animais","Formiga","Fileira","Carregar","Piquenique","",""
"ANI-047","Animais","Barata","Carapaça","Escuridão","Cozinha","",""
"ANI-048","Animais","Mosquito","Picada","Repelente","Ouvido","",""
"ANI-049","Animais","Aranha","Teia","Oito","Poeira","",""
"ANI-050","Animais","Borboleta","Asas","Casulo","Jardim","",""
"ANI-051","Animais","Vaga-lume","Brilho","Piscar","Sítio","",""
"ANI-052","Animais","Grilo","Perna","Estridente","Noite","",""
"ANI-053","Animais","Abelha","Ferrão","Pólen","Zumbido","",""
"ANI-054","Animais","Cupim","Madeira","Túnel","Fazenda","",""
"ANI-055","Animais","Minhoca","Terra","Anzol","Chuva","",""
"ANI-056","Animais","Caracol","Baba","Espiral","Horta","",""
"ANI-057","Animais","Lobo","Alcateia","Uivo","Lua","",""
"ANI-058","Animais","Raposa","Astúcia","Rabo","Fábula","",""
"ANI-059","Animais","Urso","Hibernar","Pelagem","Floresta","",""
"ANI-060","Animais","Leão","Juba","Rugido","Savana","",""
"ANI-061","Animais","Tigre","Listras","Salto","Selva","",""
"ANI-062","Animais","Elefante","Tromba","Presas","Memória","",""
"ANI-063","Animais","Girafa","Altura","Manchas","Folhas","",""
"ANI-064","Animais","Zebra","Listras","Manada","Safári","",""
"ANI-065","Animais","Hipopótamo","Bocarra","Barro","Manada","",""
"ANI-066","Animais","Rinoceronte","Couraça","Carga","Savana","",""
"ANI-067","Animais","Canguru","Bolsa","Pulo","Austrália","",""
"ANI-068","Animais","Panda","Bambu","Olheiras","Zoológico","",""
"ANI-069","Animais","Pinguim","Gelo","Barriga","Fila","",""
"ANI-070","Animais","Foca","Bola","Pedra","Gelo","",""
"ANI-071","Animais","Camelo","Corcova","Deserto","Caravana","",""
"ANI-072","Animais","Avestruz","Corrida","Cabeça","Areia","",""
"ANI-073","Animais","Águia","Vista","Penhasco","Garra","",""
"ANI-074","Animais","Falcão","Velocidade","Presa","Céu","",""
"ANI-075","Animais","Pavão","Leque","Vaidade","Cauda","",""
"ANI-076","Animais","Cisne","Elegância","Lago","Pescoço","",""
"ANI-077","Animais","Flamingo","Rosa","Equilíbrio","Lagoa","",""
"ANI-078","Animais","Cegonha","Bico","Chaminé","Bebê","",""
"ANI-079","Animais","Pintinho","Piado","Penugem","Chocadeira","",""
"ANI-080","Animais","Bode","Cheiro","Barba","Encosta","",""
"ANI-081","Animais","Mico","Rabinho","Bando","Parque","",""
"ANI-082","Animais","Quati","Anéis","Focinho","Trilha","",""
"ANI-083","Animais","Gambá","Fedor","Rabo peludo","Susto","",""
"ANI-084","Animais","Ouriço","Espinhos","Enrolar","Folhas","",""
"ANI-085","Animais","Esquilo","Bochechas","Estoque","Tronco","",""
"ANI-086","Animais","Cervo","Galhada","Bosque","Timidez","",""
"ANI-087","Animais","Anta","Sementes","Lama","Mata","",""
"ANI-088","Animais","Lobo-guará","Pernas","Solidão","Campo","",""
"ANI-089","Animais","Bicho-da-seda","Fio","Casulo","Tecido","",""
"ANI-090","Animais","Estrela-do-mar","Cinco","Maré","Piscina natural","",""
"ANI-091","Animais","Água-viva","Transparente","Queimadura","Mar","",""
"ANI-092","Animais","Bagre","Bigode","Lodo","Anzol","",""
"ANI-093","Animais","Arraia","Ferrão","Fundo","Areia","",""
"ANI-094","Animais","Jabuti","Casco","Passo","Quintal","",""
"ANI-095","Animais","Camaleão","Disfarce","Cores","Ramo","",""
"ANI-096","Animais","Escorpião","Pinças","Fenda","Alerta","",""
"ANI-097","Animais","Lagartixa","Parede","Teto","Luz","",""
"ANI-098","Animais","Pônei","Crina","Cercado","Aniversário","",""
"ANI-099","Animais","Marimbondo","Ferroada","Beiral","Correria","",""
"ANI-100","Animais","Sagui","Tufos","Fruta","Poste","",""
"PLA-001","Lugares","Praia","Onda","Guarda-sol","Protetor","",""
"PLA-002","Lugares","Cachoeira","Queda","Musgo","Trilha","",""
"PLA-003","Lugares","Serra","Neblina","Curvas","Estrada","",""
"PLA-004","Lugares","Montanha","Cume","Subida","Botas","",""
"PLA-005","Lugares","Vale","Ladeiras","Sombra","Névoa","",""
"PLA-006","Lugares","Ilha","Isolamento","Balsa","Barco","",""
"PLA-007","Lugares","Duna","Vento","Escorregar","Buggy","",""
"PLA-008","Lugares","Gruta","Escuridão","Eco","Lanterna","",""
"PLA-009","Lugares","Riacho","Correnteza","Pedrinhas","Pescaria","",""
"PLA-010","Lugares","Represa","Comporta","Turbina","Energia","",""
"PLA-011","Lugares","Pantanal","Charco","Imensidão","Cheia","",""
"PLA-012","Lugares","Caatinga","Seca","Galhos","Cactos","",""
"PLA-013","Lugares","Amazônia","Umidade","Copas","Canoa","",""
"PLA-014","Lugares","Orla","Calçada","Bicicleta","Coqueiros","",""
"PLA-015","Lugares","Píer","Tábuas","Barcos","Pescador","",""
"PLA-016","Lugares","Farol","Rochas","Navio","Feixe","",""
"PLA-017","Lugares","Porto","Contêiner","Guindaste","Carga","",""
"PLA-018","Lugares","Rodoviária","Malas","Espera","Poltrona","",""
"PLA-019","Lugares","Aeroporto","Esteira","Embarque","Passaporte","",""
"PLA-020","Lugares","Metrô","Vagão","Catraca","Túnel","",""
"PLA-021","Lugares","Ponto de ônibus","Abrigo","Placa","Cartão","",""
"PLA-022","Lugares","Ponte","Vão","Cabos","Travessia","",""
"PLA-023","Lugares","Viaduto","Concreto","Sombra","Trânsito","",""
"PLA-024","Lugares","Rodovia","Asfalto","Pedágio","Caminhões","",""
"PLA-025","Lugares","Estação","Plataforma","Apito","Bilhete","",""
"PLA-026","Lugares","Escola","Recreio","Uniforme","Merenda","",""
"PLA-027","Lugares","Universidade","Campus","Calouros","Bandejão","",""
"PLA-028","Lugares","Biblioteca","Silêncio","Fichas","Estantes","",""
"PLA-029","Lugares","Hospital","Corredor","Plantão","Soro","",""
"PLA-030","Lugares","Posto de saúde","Senha","Vacina","Cartaz","",""
"PLA-031","Lugares","Farmácia","Prateleiras","Balança","Receita","",""
"PLA-032","Lugares","Açougue","Balcão","Cutelo","Ganchos","",""
"PLA-033","Lugares","Mercearia","Fiado","Bairro","Freguês","",""
"PLA-034","Lugares","Supermercado","Carrinho","Corredores","Cupom","",""
"PLA-035","Lugares","Camelódromo","Barracas","Pechincha","Movimento","",""
"PLA-036","Lugares","Feira livre","Lona","Pregão","Sacolas","",""
"PLA-037","Lugares","Banca de jornal","Revistas","Esquina","Balas","",""
"PLA-038","Lugares","Barbearia","Navalha","Cadeira","Espelho","",""
"PLA-039","Lugares","Salão de beleza","Secador","Fofoca","Esmalte","",""
"PLA-040","Lugares","Igreja","Sinos","Vitral","Missa","",""
"PLA-041","Lugares","Cemitério","Lápides","Velas","Novembro","",""
"PLA-042","Lugares","Delegacia","Boletim","Grades","Depoimento","",""
"PLA-043","Lugares","Cartório","Carimbo","Reconhecer","Papelada","",""
"PLA-044","Lugares","Banco","Cofre","Extrato","Gerente","",""
"PLA-045","Lugares","Correios","Selos","Encomenda","Etiqueta","",""
"PLA-046","Lugares","Estádio","Arquibancada","Gramado","Torcida","",""
"PLA-047","Lugares","Ginásio","Quadra","Alambrado","Torneio","",""
"PLA-048","Lugares","Piscina","Cloro","Trampolim","Boia","",""
"PLA-049","Lugares","Vestiário","Armários","Chuveiro","Bancos","",""
"PLA-050","Lugares","Teatro","Cortina","Coxia","Aplausos","",""
"PLA-051","Lugares","Museu","Guia","Placas","Réplica","",""
"PLA-052","Lugares","Circo","Picadeiro","Trapézio","Algodão-doce","",""
"PLA-053","Lugares","Playground","Balanço","Gangorra","Joelho ralado","",""
"PLA-054","Lugares","Praça","Coreto","Chafariz","Domingo","",""
"PLA-055","Lugares","Mirante","Guarda-corpo","Binóculo","Foto","",""
"PLA-056","Lugares","Hotel","Recepção","Chave","Diária","",""
"PLA-057","Lugares","Pousada","Varanda","Rede","Sossego","",""
"PLA-058","Lugares","Camping","Barraca","Estacas","Fogueira","",""
"PLA-059","Lugares","Chácara","Pomar","Portão","Feriado","",""
"PLA-060","Lugares","Engenho","Moenda","Melaço","Alambique","",""
"PLA-061","Lugares","Celeiro","Fardos","Ratoeira","Colheita","",""
"PLA-062","Lugares","Estufa","Mudas","Vidro","Umidade","",""
"PLA-063","Lugares","Cerrado","Arbustos","Terra vermelha","Queimada","",""
"PLA-064","Lugares","Vulcão","Cratera","Lava","Cinzas","",""
"PLA-065","Lugares","Geleira","Rachadura","Iceberg","Casaco","",""
"PLA-066","Lugares","Oásis","Miragem","Água","Camelos","",""
"PLA-067","Lugares","Apartamento","Elevador","Vizinhos","Condomínio","",""
"PLA-068","Lugares","Casa","Aluguel","Mudança","Endereço","",""
"PLA-069","Lugares","Quarto","Cama","Bagunça","Despertador","",""
"PLA-070","Lugares","Sala","Sofá","Controle remoto","Visita","",""
"PLA-071","Lugares","Banheiro","Azulejo","Descarga","Toalha","",""
"PLA-072","Lugares","Garagem","Ferramentas","Manchas","Caixas","",""
"PLA-073","Lugares","Sótão","Baús","Teias","Lembranças","",""
"PLA-074","Lugares","Porão","Mofo","Degraus","Ratos","",""
"PLA-075","Lugares","Escritório","Baias","Reunião","Crachá","",""
"PLA-076","Lugares","Fábrica","Turnos","Galpão","Ruído","",""
"PLA-077","Lugares","Canteiro de obras","Capacete","Andaime","Cimento","",""
"PLA-078","Lugares","Oficina","Graxa","Chave inglesa","Pneu","",""
"PLA-079","Lugares","Posto de gasolina","Mangueira","Frentista","Conveniência","",""
"PLA-080","Lugares","Restaurante","Cardápio","Garçom","Conta","",""
"PLA-081","Lugares","Bar","Petiscos","Mesinhas","Sinuca","",""
"PLA-082","Lugares","Boate","Luzes","Batida","Madrugada","",""
"PLA-083","Lugares","Sambódromo","Desfile","Alegorias","Fevereiro","",""
"PLA-084","Lugares","Quiosque","Toldo","Cadeiras","Areia","",""
"PLA-085","Lugares","Terminal","Baldeação","Catracas","Multidão","",""
"PLA-086","Lugares","Presídio","Vigia","Pátio","Visitas","",""
"PLA-087","Lugares","Quartel","Alvorada","Marcha","Farda","",""
"PLA-088","Lugares","Creche","Berços","Choro","Fraldas","",""
"PLA-089","Lugares","Asilo","Bengalas","Rotina","Álbum","",""
"PLA-090","Lugares","Laboratório","Jaleco","Amostras","Microscópio","",""
"PLA-091","Lugares","Estúdio","Microfone","Cabine","Gravação","",""
"PLA-092","Lugares","Auditório","Palco","Fileiras","Palestra","",""
"PLA-093","Lugares","Galeria","Lojinhas","Centro","Teto baixo","",""
"PLA-094","Lugares","Mercado municipal","Bancas","Vitrais","Degustação","",""
"PLA-095","Lugares","Sorveteria","Potes","Sabores","Casquinha","",""
"PLA-096","Lugares","Livraria","Lançamentos","Marcadores","Café","",""
"PLA-097","Lugares","Papelaria","Cadernos","Canetas","Matrícula","",""
"PLA-098","Lugares","Pet shop","Banho","Tosa","Coleira","",""
"PLA-099","Lugares","Lavanderia","Máquinas","Sabão","Cabides","",""
"PLA-100","Lugares","Depósito","Empilhadeira","Poeira","Inventário","",""
"OBJ-001","Objetos do Dia a Dia","Chinelo","Dedo","Tira","Calor","",""
"OBJ-002","Objetos do Dia a Dia","Guarda-chuva","Cabo","Dobrar","Enxurrada","",""
"OBJ-003","Objetos do Dia a Dia","Chaveiro","Argola","Bolso","Porta","",""
"OBJ-004","Objetos do Dia a Dia","Carteira","Couro","Documentos","Assalto","",""
"OBJ-005","Objetos do Dia a Dia","Óculos","Armação","Lentes","Grau","",""
"OBJ-006","Objetos do Dia a Dia","Relógio","Ponteiros","Pulso","Atraso","",""
"OBJ-007","Objetos do Dia a Dia","Celular","Tela","Bateria","Notificação","",""
"OBJ-008","Objetos do Dia a Dia","Carregador","Tomada","Emaranhado","Viagem","",""
"OBJ-009","Objetos do Dia a Dia","Fone de ouvido","Almofadinha","Silêncio","Ônibus","",""
"OBJ-010","Objetos do Dia a Dia","Ventilador","Hélice","Barulho","Verão","",""
"OBJ-011","Objetos do Dia a Dia","Fogão","Boca","Chama","Panela","",""
"OBJ-012","Objetos do Dia a Dia","Micro-ondas","Giro","Aquecer","Sobras","",""
"OBJ-013","Objetos do Dia a Dia","Faca","Lâmina","Amolar","Corte","",""
"OBJ-014","Objetos do Dia a Dia","Caneca","Alça","Fundo","Trabalho","",""
"OBJ-015","Objetos do Dia a Dia","Garrafa térmica","Tampa","Vácuo","Piquenique","",""
"OBJ-016","Objetos do Dia a Dia","Abridor","Gargalo","Alavanca","Tampinha","",""
"OBJ-017","Objetos do Dia a Dia","Ralador","Furos","Atrito","Queijo","",""
"OBJ-018","Objetos do Dia a Dia","Tábua","Marcas","Apoio","Legumes","",""
"OBJ-019","Objetos do Dia a Dia","Pano de prato","Xadrez","Secar","Ombro","",""
"OBJ-020","Objetos do Dia a Dia","Esponja","Furinhos","Absorver","Pia","",""
"OBJ-021","Objetos do Dia a Dia","Vassoura","Cerdas","Canto","Varrer","",""
"OBJ-022","Objetos do Dia a Dia","Rodo","Empurrar","Enxugar","Piso","",""
"OBJ-023","Objetos do Dia a Dia","Balde","Litros","Transbordar","Faxina","",""
"OBJ-024","Objetos do Dia a Dia","Detergente","Bolhas","Louça","Frasco","",""
"OBJ-025","Objetos do Dia a Dia","Ferro de passar","Vapor","Vinco","Camisa","",""
"OBJ-026","Objetos do Dia a Dia","Aspirador","Sucção","Bocal","Farelo","",""
"OBJ-027","Objetos do Dia a Dia","Escova de dente","Copinho","Circular","Espuminha","",""
"OBJ-028","Objetos do Dia a Dia","Sabonete","Perfume","Escorregar","Pia","",""
"OBJ-029","Objetos do Dia a Dia","Xampu","Espuma","Cabelo","Chuveiro","",""
"OBJ-030","Objetos do Dia a Dia","Papel higiênico","Rolo","Acabar","Emergência","",""
"OBJ-031","Objetos do Dia a Dia","Pente","Risca","Nó","Cabeleireiro","",""
"OBJ-032","Objetos do Dia a Dia","Cortador de unha","Lixinha","Estalo","Higiene","",""
"OBJ-033","Objetos do Dia a Dia","Band-aid","Adesivo","Joelho","Sangue","",""
"OBJ-034","Objetos do Dia a Dia","Termômetro","Graus","Febre","Axila","",""
"OBJ-035","Objetos do Dia a Dia","Boné","Aba","Logo","Sol","",""
"OBJ-036","Objetos do Dia a Dia","Mochila","Alças","Costas","Livros","",""
"OBJ-037","Objetos do Dia a Dia","Guarda-roupa","Portas","Naftalina","Inverno","",""
"OBJ-038","Objetos do Dia a Dia","Gaveta","Trilho","Emperrar","Bagunça","",""
"OBJ-039","Objetos do Dia a Dia","Almofada","Enchimento","Amassar","Sofá","",""
"OBJ-040","Objetos do Dia a Dia","Travesseiro","Fronha","Amasso","Sono","",""
"OBJ-041","Objetos do Dia a Dia","Lençol","Elástico","Trocar","Varal","",""
"OBJ-042","Objetos do Dia a Dia","Cobertor","Frio","Enrolar","Julho","",""
"OBJ-043","Objetos do Dia a Dia","Colchão","Molas","Firmeza","Mudança","",""
"OBJ-044","Objetos do Dia a Dia","Tapete","Franjas","Pisar","Entrada","",""
"OBJ-045","Objetos do Dia a Dia","Abajur","Cúpula","Penumbra","Cabeceira","",""
"OBJ-046","Objetos do Dia a Dia","Lâmpada","Rosca","Queimar","Teto","",""
"OBJ-047","Objetos do Dia a Dia","Interruptor","Clique","Parede","Escuridão","",""
"OBJ-048","Objetos do Dia a Dia","Fechadura","Segredo","Girar","Porta","",""
"OBJ-049","Objetos do Dia a Dia","Campainha","Toque","Susto","Entregador","",""
"OBJ-050","Objetos do Dia a Dia","Escada","Ferrugem","Subir","Pintura","",""
"OBJ-051","Objetos do Dia a Dia","Martelo","Pancada","Polegar","Obra","",""
"OBJ-052","Objetos do Dia a Dia","Chave de fenda","Cruz","Parafuso","Montagem","",""
"OBJ-053","Objetos do Dia a Dia","Prego","Ponta","Parede","Quadro","",""
"OBJ-054","Objetos do Dia a Dia","Fita adesiva","Grudar","Emenda","Mudança","",""
"OBJ-055","Objetos do Dia a Dia","Cola","Tubo","Escolinha","Papel","",""
"OBJ-056","Objetos do Dia a Dia","Tesoura","Lâminas","Franja","Papel","",""
"OBJ-057","Objetos do Dia a Dia","Régua","Centímetros","Riscar","Prova","",""
"OBJ-058","Objetos do Dia a Dia","Lápis","Grafite","Apontar","Caderno","",""
"OBJ-059","Objetos do Dia a Dia","Caneta","Tinta","Vazamento","Bolso","",""
"OBJ-060","Objetos do Dia a Dia","Borracha","Farelinho","Apagar","Erro","",""
"OBJ-061","Objetos do Dia a Dia","Apontador","Espiral","Lixeira","Estojo","",""
"OBJ-062","Objetos do Dia a Dia","Grampeador","Pressão","Recarga","Relatório","",""
"OBJ-063","Objetos do Dia a Dia","Calculadora","Teclas","Visor","Prova","",""
"OBJ-064","Objetos do Dia a Dia","Agenda","Datas","Anotações","Compromissos","",""
"OBJ-065","Objetos do Dia a Dia","Dinheiro","Cédulas","Troco","Fila","",""
"OBJ-066","Objetos do Dia a Dia","Moeda","Cara coroa","Tilintar","Cofrinho","",""
"OBJ-067","Objetos do Dia a Dia","Isqueiro","Fagulha","Rodinha","Fogueira","",""
"OBJ-068","Objetos do Dia a Dia","Cadeado","Corrente","Arco","Portão","",""
"OBJ-069","Objetos do Dia a Dia","Corda","Fibras","Amarrar","Varal","",""
"OBJ-070","Objetos do Dia a Dia","Fita métrica","Números","Costura","Medida","",""
"OBJ-071","Objetos do Dia a Dia","Agulha","Linha","Espetar","Costura","",""
"OBJ-072","Objetos do Dia a Dia","Botão","Furo","Cair","Camisa","",""
"OBJ-073","Objetos do Dia a Dia","Zíper","Dentinhos","Puxador","Jaqueta","",""
"OBJ-074","Objetos do Dia a Dia","Cinto","Fivela","Apertar","Calça","",""
"OBJ-075","Objetos do Dia a Dia","Meia","Par","Sumir","Pé","",""
